,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
34,143,RTFKT PodX,324.07,+44.32%,-24.35%,0.9,9.0K,1
35,144,Toxic Ape Official,"733,436.18",-39.92%,-71.15%,160,3.1K,10.0K
31,145,ASM Brains,316.66,+96.54%,+61.64%,3.12,2.6K,7.3K
57,146,VR Future Genesis,315.53,-43.01%,-17.20%,0.06,2.8K,7.8K
56,147,CYE ChuchuCAT V0,"723,141.29",-62.80%,+153759.85%,995,1.1K,3.5K
31,148,GuoChanLiangXin,311.07,-80.45%,---,0.09,517,1.0K
29,149,PUNKS Comic,304.69,+11.28%,+13.68%,0.17,8.4K,23.2K
27,150,My Pet Hooligan,302.87,+47.13%,+9.47%,0.98,5.2K,8.9K
28,151,Infinite Realm Official,301.12,+3.46%,-63.84%,0.04,3.3K,7.7K
23,152,Block Queens by Jeremy Cowart,298.54,+60.77%,+5039.43%,0.17,724,999
26,153,Artificial Intelligence Club (Genesis),296.61,+328.04%,+2.23%,4.65,286,314
24,154,Treeverse Plots,296.15,+40.57%,+12.38%,1.5,3.8K,10.4K
49,155,"SYLTARE, Dawn of East","680,729.61",-27.79%,---,2900,2.5K,8.9K
8,156,PROOF Collective,294.08,---,-12.87%,32.77,905,1.0K
22,157,Chain Runners,293.84,+71.31%,-55.66%,1.09,3.3K,10.0K
20,158,Turf Plots,291.53,-63.20%,-6.72%,0.6,1.9K,5.0K
21,159,Bored Ape Chemistry Club,285.88,-38.18%,-35.36%,20,1.1K,3
16,160,Zipcy's SuperNormal,282.06,-3.65%,-45.53%,0.59,4.7K,8.9K
19,161,Rug Radio - Genesis NFT,279.7,-4.26%,-13.53%,0.36,10.3K,20.0K
41,162,FancyBirds,279.45,+350.89%,-52.99%,0.48,2.4K,8.9K
18,163,Creepy Creams: Mecha Melters,273.16,-7.97%,-39.72%,0.05,2.9K,6.0K
9,164,Compass Lifetime Pass,271.78,-41.52%,+325.15%,0.54,833,998
39,165,ASM AIFA Genesis,270.84,-80.03%,+38.50%,4.97,898,10.0K
13,166,Nuclear Nerds of the Accidental Apocalypse,269.74,+26.73%,-66.74%,0.43,3.6K,9.0K
38,167,Smilesssvrs ::),267.73,-14.43%,+25.15%,1.15,4.5K,8.7K
10,168,Grails by PROOF Collective,261.01,-60.25%,---,4.95,273,354
36,169,CryptoRayRays,258.04,-16.07%,+499.39%,0.17,4.6K,9.6K
11,170,FLUF World: Burrows,257.87,+59.83%,-22.84%,0.99,3.3K,10.5K
0,171,KlayCity District,"588,141.47",+817.50%,-70.79%,12500,627,1.0K
29,172,Sappy Seals,243.89,+43.25%,+0.05%,0.87,1.1K,10.0K
27,173,Cosmodinos Omega,243.22,-40.22%,-78.88%,0.07,4.3K,8.9K
6,174,Freaks N' Guilds - Celestial Keys,241.72,-72.89%,+167.80%,0.25,421,4.4K
3,175,The Doge Pound,239.7,-75.69%,+19.90%,1.2,5.7K,10.0K
4,176,Art Blocks Playground,239,+573.30%,+371.53%,---,6.9K,25.2K
22,177,Cryptovoxels,236.11,+48.20%,+1.61%,1.67,2.2K,7.2K
24,178,RUDEKIDZ,234.09,-46.11%,---,0.3,2.0K,3.5K
23,179,Creature World,233.78,-38.98%,-6.78%,0.96,6.2K,10.0K
18,180,Never Fear Truth by Johnny Depp,228.13,-39.32%,-49.26%,0.77,2.4K,2.7K
21,181,Zoofrenz by Zombot Studio,225.28,-6.19%,-73.98%,0.46,3.6K,6.7K
19,182,Crypto.Chicks,222.46,+120.31%,-80.88%,0.47,4.4K,10.0K
20,183,Atomverse Genesis,221.87,-27.75%,---,0.07,2.4K,4.4K
1,184,Divine Dogs Genesis,221.28,-52.65%,---,0.06,350,555
17,185,SUPERPLASTIC: SUPERGUCCI,218.6,+771.67%,+16.33%,6.95,370,500
15,186,FancyBears Metaverse Official,218.01,+74.43%,+13.74%,0.82,3.8K,7.9K
16,187,Re-Be World Land,"499,573.35",-82.94%,+171.08%,560,1.2K,4.0K
2,188,CryptoSkulls,216.7,-20.84%,-57.38%,1.09,4.2K,10.0K
14,189,Wolf Game - Migrated,215.69,+67.51%,+21.02%,0.98,643,13.7K
12,190,Neo Tokyo Outer Lands,215.56,+82.38%,---,0.36,3.2K,3.5K
13,191,the littles NFT,214.29,+118.21%,+30.07%,0.63,5.5K,10.0K
3,192,Psychedelics Anonymous Component 2,212.51,-70.58%,-46.95%,1.84,4.3K,6.5K
11,193,DEZUKI,206.98,-66.38%,---,0.01,3.2K,8.9K
4,194,Drawshop Kingdom Reverse,"476,269.17",-10.02%,-15.35%,8.1,2.9K,11.7K
10,195,Psychedelics Anonymous Component 1,206.55,-77.24%,-54.65%,0.88,5.3K,9.6K
5,196,Roborovski NFT Collection by SYA Concept,204.08,-36.97%,-64.02%,0.06,4.9K,7.8K
9,197,CrypToadz by GREMPLIN,203.07,+27.27%,+10.17%,2.09,3.9K,7.0K
6,198,HYPEBEARSCLUB.OFFICIAL,201.87,-31.10%,-13.07%,0.19,5.9K,10.0K
7,199,Not Your Bro,200.72,---,---,0.12,2.4K,5.8K
8,200,A0K1VERSE Credits,200.66,-51.36%,+35.36%,0.11,2.0K,1
75,201,Wassies by Wassies,197.72,-1.62%,+120.10%,0.65,2.6K,9.5K
73,202,Crypto Unicorns Market,196.73,+1.42%,-22.31%,1.47,510,10.0K
74,203,Internet Game Token,196.34,+55.60%,-43.94%,0.09,2.0K,8.0K
69,204,Fidenza by Tyler Hobbs,196.11,---,+130.72%,65,511,999
72,205,the sunnies collection,195.67,---,---,0.1,2.4K,6.2K
70,206,Apostles: Genesis,193.32,+37.73%,+49.57%,1.08,2.5K,7.3K
71,207,Chromie Squiggle by Snowfro,193.01,+395.00%,-45.21%,7.4,2.3K,9.3K
53,208,Azuki Mfer,191.36,-82.52%,---,0.03,2.8K,10.0K
68,209,Gutter Cat Gang,190.12,---,+29.05%,5.7,1.8K,3.0K
