,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
25,955,Cosmic Labs,15.33,-42.83%,-4.11%,0.06,3.6K,9.0K
49,955,Cosmic Labs,15.33,-42.83%,-4.11%,0.06,3.6K,9.0K
32,956,HOK Main,15.24,+655.33%,+23.10%,0.09,1.2K,3.3K
8,956,HOK Main,15.24,+655.33%,+23.10%,0.09,1.2K,3.3K
46,957,Anatomy Science Ape Club,15.23,-28.32%,+10.96%,0.05,4.3K,8.0K
22,957,Anatomy Science Ape Club,15.23,-28.32%,+10.96%,0.05,4.3K,8.0K
44,958,minomi,15.19,---,---,---,28,33
20,958,minomi,15.19,---,---,---,28,33
45,959,Pepsi Mic Drop,15.18,+39.50%,-72.42%,0.47,1.3K,1.9K
21,959,Pepsi Mic Drop,15.18,+39.50%,-72.42%,0.47,1.3K,1.9K
40,960,Wizards & Dragons Game (WnD),15.17,-62.49%,+18.62%,0.02,3.5K,46.2K
16,960,Wizards & Dragons Game (WnD),15.17,-62.49%,+18.62%,0.02,3.5K,46.2K
19,961,GenX by HOK,15.12,+14.59%,-32.48%,0.12,3.1K,10.0K
43,961,GenX by HOK,15.12,+14.59%,-32.48%,0.12,3.1K,10.0K
17,962,DIGITZ GENESIS COLLECTION,15.1,-39.28%,-18.03%,0.22,1.1K,2.2K
41,962,DIGITZ GENESIS COLLECTION,15.1,-39.28%,-18.03%,0.22,1.1K,2.2K
18,963,The Moon Boyz,15.05,+5.46%,+61.78%,0.08,3.6K,11.1K
42,963,The Moon Boyz,15.05,+5.46%,+61.78%,0.08,3.6K,11.1K
33,964,GFARM2 NFT 5,15,---,---,12.5,26,84
9,964,GFARM2 NFT 5,15,---,---,12.5,26,84
39,965,Eternal Collections - Cherish the moment,15,---,---,0.22,17,252
15,965,Eternal Collections - Cherish the moment,15,---,---,0.22,17,252
37,966,AMBUSH OFFICIAL POW! ENERGON,15,---,+200.00%,13,98,99
13,966,AMBUSH OFFICIAL POW! ENERGON,15,---,+200.00%,13,98,99
38,967,GENESIS HAPE,15,-100.00%,---,14.99,38,43
14,967,GENESIS HAPE,15,-100.00%,---,14.99,38,43
10,968,Scavengers NFT Genesis,14.99,-100.00%,-29.90%,0.65,394,555
34,968,Scavengers NFT Genesis,14.99,-100.00%,-29.90%,0.65,394,555
12,969,PEACEFUL GROUPIES,14.98,-28.74%,-22.50%,0.2,2.3K,10.0K
36,969,PEACEFUL GROUPIES,14.98,-28.74%,-22.50%,0.2,2.3K,10.0K
11,970,Lazy Kitties,14.94,-77.00%,---,< 0.01,1.6K,10.0K
35,970,Lazy Kitties,14.94,-77.00%,---,< 0.01,1.6K,10.0K
0,971,The Degenaissance,14.92,-48.92%,+104.72%,0.38,2.3K,2.5K
2,971,The Degenaissance,14.92,-48.92%,+104.72%,0.38,2.3K,2.5K
7,972,Galaxy-Warriors,14.89,-74.06%,-26.54%,0.06,4.1K,10.0K
29,972,Galaxy-Warriors,14.89,-74.06%,-26.54%,0.06,4.1K,10.0K
5,973,ImmortalPhoenix,14.87,---,+390.71%,0.12,469,999
27,973,ImmortalPhoenix,14.87,---,+390.71%,0.12,469,999
28,974,Gener8tive K-Compositions,14.85,-100.00%,-39.36%,2.88,131,250
6,974,Gener8tive K-Compositions,14.85,-100.00%,-39.36%,2.88,131,250
25,975,The Gnomies Club,14.84,-65.76%,+623.56%,0.07,1.1K,2.5K
3,975,The Gnomies Club,14.84,-65.76%,+623.56%,0.07,1.1K,2.5K
4,976,Neo Tokyo Part 4 Land Deeds,14.81,---,-26.50%,2.99,75,2.1K
26,976,Neo Tokyo Part 4 Land Deeds,14.81,---,-26.50%,2.99,75,2.1K
22,977,New World Order - NWO,14.79,+169.13%,+71.69%,0.07,3.1K,7.1K
24,978,Mythical_Legends,14.78,+28878.79%,-8.00%,0.02,42,83
23,979,Poolsuite - Executive Member,14.74,---,-6.03%,1.1,2.0K,2.5K
18,980,Mech Identity Protocol Tickets,14.72,+179.01%,-21.31%,0.04,1.9K,7
21,981,Forgotten Runes Ponies,14.67,---,+91.24%,2.8,338,456
19,982,Ghxsts,14.55,---,-35.60%,6,532,349
20,983,[Treasures Club] MASTERS,"33,409.54",+18.95%,-62.96%,159,1.5K,16.4K
1,984,MetaMorphMania,14.47,---,-57.86%,0.65,140,200
17,985,Super Yeti,14.43,+77.66%,-37.93%,0.11,4.3K,10.0K
15,986,TattooSkullzSociety,14.41,+43.41%,+7107.24%,0.09,1.5K,3.0K
16,987,Subscapes by Matt DesLauriers,14.39,---,---,9.5,264,650
2,988,The Royal Cubs,14.34,-69.75%,-40.59%,0.06,4.7K,8.9K
14,989,Grailers,14.31,-100.00%,+8.16%,1.78,411,909
12,990,PixelMap,14.25,+29.41%,-30.04%,1.75,498,1.6K
13,991,Chicken Derby,14.23,+33.89%,-70.28%,0.04,5.9K,33.3K
3,992,Sad Girls Bar,14.22,-16.39%,-50.75%,0.14,4.8K,10.0K
11,993,Mutant Ape Planet,14.16,-65.08%,-75.59%,0.05,4.0K,6.8K
4,994,Love Addicted Girls,14.16,-0.70%,-92.48%,0.04,2.1K,4.0K
10,995,SUPERPLASTIC: Headtripz Pillz,14.12,+1509.10%,-66.82%,0.08,1.9K,3
5,996,PolkaFantasy Game,14.07,-64.84%,---,0.01,771,8.1K
9,997,Star Wolves,14.03,---,+123.36%,5,90,90
6,998,National Parks NFT,14.03,-52.51%,-12.72%,0.07,1.9K,4.8K
7,999,REFLECTIONS NFT by Rich Simmons,14.02,-9.31%,-90.58%,0.06,1.9K,3.3K
8,1000,[TREASURES CLUB X CHANNEL A] CITYANGLER,"32,308.9",+320.10%,---,49,459,5.0K
