,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
6,597,ALINFT,29.5,+18.56%,-94.89%,0.05,4.1K,8.1K,9faffd3f-150b-4ee2-b1d8-485472dd9098
9,598,Feral File #009 - Unsupervised,29.48,+56.00%,-53.54%,0.43,2.5K,3.4K,a6dc1bd3-246c-4c41-ae12-ca8b45294e43
7,599,Klay Museum,"67,339.74",-13.13%,+915.53%,92,610,5.5K,e3a9fa70-3585-4657-99ed-f0e03c191c6c
8,600,Devs for Revolution,28.95,+7.72%,+14.67%,0.21,5.9K,7.8K,de61a7c7-7a99-4840-9763-6409dbb228ad
75,601,EtherLambos,28.9,-34.71%,+47.75%,1.22,777,1.6K,11b0c444-3f06-4e78-ba83-dab86fe58116
73,602,The MetaPortal,28.84,+22.66%,-91.50%,0.3,974,1,a05ec9b4-5f85-4c4e-aa40-d63bd2ebdd7c
74,603,Ether Cards Founder,28.76,-69.11%,+21.06%,0.47,1.5K,10.0K,68153f7b-7d47-4695-a217-92a14e06a144
69,604,IlluminatiNFT,28.6,-6.32%,-11.47%,0.22,3.7K,8.1K,361c4b66-93ff-422b-8163-e16a1fb9cffa
72,605,lobsterdao,28.52,---,+168.59%,2,1.6K,3.4K,24962e4a-8fa4-4dd1-8b57-cfdeb79ccdee
70,606,Black Meta Multipass,28.51,+26.49%,+42.94%,0.1,893,1.5K,bac3b6c3-5a48-4be9-88c1-2bf27eead9fa
71,607,INNOCENTCATS NFT,28.48,+135.70%,-27.29%,0.14,2.6K,9.0K,8886c247-b64c-489c-9cd8-24a12eb1d510
53,608,Recon Rams,28.37,-47.74%,-84.75%,0.09,1.8K,4.2K,eae193a0-045f-417f-bf4f-39eeae2f3f4c
68,609,DASK - Dead Army Skeleton Klub,28.24,+10.28%,-45.66%,0.08,2.0K,7.0K,b2e6b436-35bf-406c-a3b1-aa68cade80a4
66,610,IZAYOI,28.19,-100.00%,---,0.02,113,409,3acd57fc-dfe2-41e9-8f72-64a61666e5e6
67,611,Bad Bears Genesis,27.94,-48.03%,-25.05%,0.12,1.9K,5.6K,cf5428c9-3212-41f8-9426-3a3c2fd55f88
54,612,Neo Tokyo Part 3 Item Caches,27.73,-100.00%,+36.40%,2.16,367,2.5K,f7df2b33-5132-4c1d-87cf-3bdd45713d6e
65,613,Dreamland Genesis,27.72,+125.65%,-10.86%,0.08,4.3K,10.0K,a9e2daa6-0f67-43a7-b15d-caa2b3d92404
63,614,Tiptoez,27.58,-17.18%,+71.90%,0.1,444,2.5K,af32b35f-1df1-4906-b032-e645bcacdefc
64,615,METABILLIONAIRE,27.57,+33.04%,-67.73%,0.22,4.0K,7.8K,a3f8325b-9856-41d1-82a6-a9d1a49baed0
55,616,Synth Heads,27.48,-77.59%,-17.12%,0.09,1.2K,3.0K,758d6ab7-fb43-4dd1-8d56-bf7564be63d0
62,617,Super Creators By IAC,27.45,-52.09%,-65.52%,1.99,828,2.2K,bd35b8e1-a2e7-4b87-afe0-491f45daa0ba
56,618,Project Galaxy NFT,27.45,-8.74%,+153.08%,< 0.01,13.4K,28.1K,16cbbb34-3101-42e9-b52b-2a49fd898770
61,619,Kuroro Ferry Tickets,27.4,+717.35%,+18.72%,0.98,601,1,ee39de50-f711-4fb4-bf77-ac8e1a97a89b
57,620,Genesis Mana (for Loot),27.37,-55.02%,-64.79%,0.26,609,9.9K,99b85b50-17c2-4bf5-aa09-5598a363cd28
60,621,Magic Mushroom Clubhouse,27.28,-12.10%,-33.95%,0.14,5.8K,9.2K,34397edc-b2b2-4bf2-9f72-eb12a0e50249
58,622,The Ascendants - Gifts of The Gods,27.11,---,-41.22%,0.7,607,2,3713392e-6e51-4ae4-b177-0043c31b02ef
59,623,Impact Theory Founder's Key,27.03,-52.35%,-21.45%,0.09,5.1K,15.1K,d9071d8f-cf79-4370-a3e0-623630b9107f
44,624,Paragons NFT,27,-6.10%,+653.40%,0.15,739,2.5K,28438a36-b1b9-4db3-9d84-bcd59a0bcde9
75,625,Rengoku Legends [Samurai],26.79,-0.37%,-64.80%,0.1,3.8K,6.3K,b10e29ce-5dbd-4d3b-9325-fd209e52675c
51,626,Cosmic Reef by Leo Villareal,26.73,+48.42%,+243.79%,0.95,387,1.0K,932dd37a-dcb3-4608-be0e-7c4d4c776b18
72,627,RATATTACK SIGNS,26.66,-28.56%,---,10,5,8,01569fe9-2f08-4b9d-a8cf-d6d834e1bd0c
50,628,Girlies NFT,26.5,-9.07%,-80.24%,0.1,4.5K,10.0K,ff54f374-ebf0-4e0b-99ee-8f2f82d5eb5e
68,629,HUXLEY Genesis,26.44,-100.00%,+21.62%,3.4,190,10,1433d654-7430-4b5a-a609-019e34a540c5
48,630,Big Time Founders Collection,26.42,-80.23%,+55.03%,0.16,2.6K,5,0fedb030-df61-42f5-9434-9dcd30638081
69,631,Sheet Fighter,26.32,-60.00%,-82.80%,0.06,1.3K,8.9K,dcb755c9-18de-4dc1-8937-8f8b068d3bf4
70,632,Pixel Headz,26.29,-88.75%,+17425.93%,0.67,199,318,df0a84be-c059-4686-99cd-e5bb5750b7c6
0,633,onlySnipers,26.23,+10.72%,-89.18%,0.31,884,999,51fff096-0fc2-449c-a1e9-8526197ef060
67,634,Sixth Reseau Genesis,26.21,-100.00%,---,---,10,10,d5f8ff89-d21c-4788-8c9f-f046846e5b36
65,635,Cosmos Kidz,26.12,+5.98%,-86.51%,0.05,2.9K,6.1K,93d47b57-7d35-453d-9a78-a1b8448bc462
42,636,Exclusible Gold Alpha,26.09,+224.75%,+75.10%,3.2,326,388,69884a46-9c1c-4905-ac6b-47481a5c4dd1
37,637,FEWOCiOUS x RTFKT,25.99,---,+44.39%,3.95,543,909,dbff2e5d-d8b0-4f3b-b9c8-84b9a2f8bcd5
40,638,Alien Ape Yacht Club Collection,25.98,-36.18%,-8.42%,0.02,2.6K,10.0K,62bff4e2-9308-459c-a909-31c26c286452
62,639,CryptoMonkz - Official,25.89,-27.14%,-42.83%,0.25,1.2K,3.3K,a4ee4fa6-a244-4c75-8b60-9fa016f5af9c
39,640,Planetary Property Association: Surrealestates,25.81,+83.15%,-5.77%,0.07,5.4K,10.0K,d4866af6-5e4a-417c-bcd1-af94addebc87
30,641,CULT&RAIN - The Genesis Collection,25.75,---,-67.42%,0.15,682,1.4K,8b0b706a-1a10-4933-b7d9-b4fdf6a08473
36,642,MetaMoose - MTMS,25.71,+40.27%,+20.28%,0.1,644,1.0K,ac63fddd-4572-4cc0-a5bd-76c9bf1e613d
58,643,8Sian Women,25.64,-86.83%,---,< 0.01,736,3.3K,8be41869-9a24-444c-ba16-a7b722b0d592
59,644,Koonimals Official Collection,25.64,+226.47%,-17.60%,0.23,318,530,75ae2b81-da04-4f51-9dc2-3d4ed20fa5bd
31,645,Cosmic Trippies,25.6,-66.34%,-76.45%,0.07,1.2K,7.7K,cf2e9a79-3c02-4824-ade2-f0a4afd31a44
57,646,The Wanderers,25.5,+33.41%,+15.25%,0.32,4.2K,8.9K,c33e5dfe-b822-44e7-99a8-21126fd994cd
56,647,FLUF World: Scenes & Sounds,25.47,+76.23%,-28.39%,0.05,2.7K,56,df62c980-77c6-4342-a82c-53d0eb218cf5
38,648,Creepz Invasion Pass,25.45,-10.70%,-46.98%,0.17,3.6K,1,41f2ac2c-1f88-45d2-b875-dc14ebce9d95
53,649,VR Future Genesis,25.22,+42.51%,-96.28%,0.03,2.8K,7.8K,e59aa5db-cfd1-46df-8854-80458ec294f6
51,650,Dapper Dinos NFT,25.2,+18.55%,+7.02%,0.15,4.3K,10.0K,2624cc63-e7d6-4d8b-a27e-f9f3b2b75a88
52,651,Dr. ETHvil's 3D FrankenPunks,25.01,-29.02%,-2.05%,0.08,5.5K,10.0K,77e6aa47-96c8-4342-8602-28ac67ad85d1
23,652,The Story Of Swipa The Fox,24.95,-100.00%,+8533.22%,0.08,120,6,144e6d3d-fef9-48e0-95a5-f01baa9f3ca4
26,653,Fancy Honey Jars,24.93,+79.79%,---,0.12,2.6K,8.9K,2504185f-f7c0-4978-85ba-c9971a6cdedc
24,654,Pixlverse Items,24.9,+215.00%,-42.10%,0.04,1.5K,18,f84190c8-14e6-431a-87f5-58f0f7ca0cef
25,655,Genzee,24.87,-42.74%,+24.70%,0.1,3.2K,9.9K,751d55c9-c198-4e53-8ce9-7d16f6492225
39,656,Galaxy-Eggs,24.81,-16.84%,-19.58%,0.19,5.0K,10.0K,55b22bd1-1b2b-4ee2-a245-8db754f90887
46,657,Coalition Crew,24.74,+1063.77%,+221.31%,0.82,550,1.0K,c97f3951-9df1-449d-b2f2-e8ebb431370f
44,658,Samurai Saga,24.72,+96.85%,-23.30%,0.2,1.6K,10.0K,032d340c-d1b2-4f91-aff6-a44f007d9b49
45,659,Toy Boogers,24.71,-3.77%,-45.80%,0.5,1.9K,3.3K,60dc2cd9-b7cd-4cfe-a7ed-b4f0c9da76f4
16,660,Mines of Dalarnia Mining Apes Collection,24.56,-85.72%,+157.00%,0.38,2.2K,3.0K,6e5ea338-cbe8-4425-ad8e-b8778abfd6f5
19,661,All that Remains,24.52,-25.61%,-27.13%,0.8,345,6,ded09749-67d3-4cb7-bd1f-3d967a22ecaf
41,662,Superlative Magic Laboratory,24.52,-28.12%,-18.05%,0.04,1.0K,3,1cd5560b-31f6-42ac-89aa-251579a9b87f
42,663,Realms of Ether,24.5,+136.00%,-81.46%,7.4,157,384,66a3c2aa-71aa-4934-bb2f-fc0e27625c19
1,664,Ethereal Apes (Official),24.49,-62.98%,-2.82%,0.06,946,3.3K,d49fe385-be17-4d35-a128-c8b41d10e21b
14,665,Travel Tiger Club by Travala.com,24.44,-100.00%,-46.34%,3.3,819,1.0K,01524328-94a1-4f77-9d62-b58b93925aa3
35,666,Ascended NFT Official,24.35,-53.41%,-71.89%,0.1,4.4K,8.9K,fdcb9241-603f-4e45-b67d-8bb8f3662f46
36,667,Women Unite,24.27,-85.74%,-26.99%,1.74,418,224,dba33a7d-51f6-491e-b665-861b5d10dac7
32,668,The Nifty Portal,24.2,-25.85%,-32.05%,0.13,4.9K,1,30020009-e7a5-450f-8899-c9f88aa4a899
34,669,KLAY APE KIDS,"55,566.8",-22.67%,-52.67%,240,792,6.1K,ff8a44de-d340-4582-8de2-0fc2d7ac30df
33,670,Neo Tokyo Identities,24.14,---,-51.41%,13.49,57,2.0K,ed4d25bb-379a-4a7b-8dda-8fdab156e74f
28,671,KlayLand,"55,512",+12.15%,-50.06%,71.5,2.0K,6.8K,be880e35-1785-49ee-b00d-c6e664f4b3cd
31,672,ChubbyKaijuDAO,24.13,-42.39%,-45.59%,0.05,2.7K,10.0K,e4ffb766-3357-4f24-8ee0-325017df7f1e
6,673,THE 108 CIRCLE,24,+325.23%,-88.23%,0.5,464,3,6a689179-42f9-4abd-9465-786b27b79018
30,674,Chicken Derby,23.93,+220.54%,+42.72%,0.03,5.9K,33.3K,332649e5-ba88-49bd-89d0-5427ec5d8b70
2,675,Hashflow (Official),23.68,-66.57%,-47.76%,0.01,20.0K,30.6K,37194dff-4d03-44ac-8db9-336ec27fb141
27,676,NFTs Mining,23.52,-76.38%,+8.83%,0.04,1.2K,4,da46580d-f81b-4fad-885f-7c94bf8aed49
25,677,Alpha Shark,23.43,---,+8.22%,6.65,429,450,deb8e44b-5edc-4344-af79-f8570090924a
26,678,Mobland Genesis SYNR Pass,23.4,---,-26.81%,3.8,360,408,c90366a4-94fc-4385-85a9-a9bbb3247c99
23,679,Golamis by RWR2,23.39,-60.31%,---,0.3,90,100,50e6cc90-ea7d-4975-8ad9-1738d8db3193
24,680,Forgotten Ethereal Worlds,23.35,+93.22%,-13.20%,6.15,337,345,acf927d4-bb01-41f4-9cbf-c30ce7e93a95
3,681,Voiceverse - Origins,23.34,+58.20%,-68.37%,0.06,2.7K,8.9K,6e2b8d21-f426-46f2-8882-6bd1a800a06a
22,682,Ecoverse Studio,"53,666.65",-44.88%,-75.27%,930,339,1.5K,12bf7364-a323-4c26-9351-a6ce55184745
20,683,Crookz by NIXON,23.31,-44.07%,-6.91%,0.07,4.2K,10.0K,ba397a6a-d0d4-412b-8c52-efca936c88a6
21,684,NFT2040 Crates,23.3,-69.93%,-9.74%,0.31,873,2.5K,2dc29043-e070-430a-9a20-03e6aa76b7fe
16,685,Bad Baby Dinos,23.29,-31.89%,-75.92%,0.16,1.7K,7.8K,2d179724-e588-4ce9-9aad-34426a7b434d
19,686,GuoChanLiangXin,23.16,+84.36%,-92.14%,0.05,505,1.0K,b6c7da95-929b-4490-90f3-ac6e7b503f6e
17,687,GENESIS APIENS,23.08,-100.00%,---,20,8,10,253cc2de-97b2-43b1-a74f-faf635f00166
18,688,The Archives by Jake,23,-100.00%,---,---,8,13,d36153ae-3f91-4fbf-9e4b-90dc14c22d64
4,689,The Mysterious World,22.94,-38.38%,+216.34%,0.03,2.6K,6.7K,482096bc-d851-4860-a91c-025c5686288f
15,690,10KTF Stockroom,22.92,+320.43%,-36.25%,0.14,3.4K,14,ff5587d6-a028-4301-b222-8ce26d5d8369
13,691,Ember Sword Badge,22.91,-74.26%,-46.00%,0.24,5.9K,4,b78964db-af79-47e7-8024-da50d384edb9
14,692,Kool Kevs,22.89,---,---,0.04,207,555,512b5b53-8644-49e2-afc8-8f13929a04ad
5,693,SapphireLicense,22.74,-48.77%,+44.84%,1.49,221,222,9a3bec4b-fae2-43da-8471-531af4a2af8d
12,694,Cozy Penguins NFT,22.7,-56.39%,-22.87%,0.04,3.7K,10.0K,201f5bf3-4192-4bae-88e7-8a19c94dff81
10,695,SPIN - The World's First Paintable NFT,22.69,---,---,0.52,455,750,da2a1615-6739-416e-87b1-9b2da6ee3e80
11,696,Why Was 6 Afraid of 7,22.67,---,---,< 0.01,345,789,161aa904-6694-4591-82ad-e91a528ec40b
6,697,Creepz Shapeshifterz,22.65,-65.03%,-1.40%,0.1,1.3K,2.6K,4485d4cc-50a9-41fc-93e7-f44a78abd287
9,698,Demi-Human NFT,22.64,+237.62%,+20.41%,0.14,4.2K,10.0K,c584bd35-e68f-432c-a6a9-d63716e3d862
7,699,Evaverse Hoverboards,22.49,+39.38%,-10.65%,0.1,3.2K,10.0K,d5bff776-b471-4206-9ec3-a2eff3151433
8,700,Creepz Loomi Vault,22.47,+12.02%,-54.18%,0.21,153,5.0K,cae70a9c-4a65-48fe-8896-be90e1f191c1
75,701,MEV Army,22.43,-10.62%,-59.20%,0.1,3.9K,10.0K,f544062a-0b79-471b-a16e-6578f28a82e8
73,702,Global Citizen Club,22.43,+76.91%,-22.71%,0.08,3.8K,8.9K,43715009-b821-496a-b450-cf5476020083
74,703,SMATh World - Genesis,22.43,---,---,1000,10,13,509d91f2-323e-465a-ace6-61592e258847
69,704,The Humanoids,22.4,-38.35%,-31.17%,0.19,3.9K,10.0K,108df292-bb91-41ba-a801-948bd0de41e5
72,705,FancyBabyBirds,22.4,-79.81%,---,0.08,630,2.4K,6150f8ce-44ab-48a1-b006-aeb2ee6a0677
70,706,HUXLEY Robots,22.38,---,-74.15%,5.5,517,1.0K,70a38b37-04e7-406a-9f1d-245498ce688b
71,707,BYOVape,22.2,+242.39%,-45.46%,0.47,2.8K,1,f9e69f83-00e3-452c-aba3-5b2e5bcfbfe8
53,708,GossApe Girl Official,22.16,-40.85%,-46.03%,0.12,3.4K,7.0K,6df82e72-0f24-4c7e-af59-a7bb9a1af25b
68,709,Ben Mezrich Project - Meme Stock Collection,22.08,-9.80%,-57.21%,0.1,3.6K,6.0K,c7b4842a-b264-4ed2-ba5d-7893529cff5a
66,710,Long Neckie Ladies,22.07,+17.73%,+5.99%,0.55,1.6K,3.3K,6603357a-24a6-4d48-8021-3e7ce62d15c6
67,711,THE SECRET SOCIETY XX Collection,22.07,+136.89%,-53.10%,0.11,2.8K,6.7K,96ec7047-7484-4c38-a8c3-987afada0f8c
54,712,Good Deeds With NFT's,22.02,---,+613.75%,0.07,354,1,004ead5a-8c2b-425d-9027-f246f231fadf
65,713,DeRace Horses,22.02,-48.21%,+10.64%,0.17,1.9K,4.9K,fc9b7a97-187d-4ba7-b8c2-e3fbb109b46e
63,714,DO NOT BUY. MIGRATION IN PROGRESS.,22,---,-73.33%,---,12,333,d4f0eb25-9e6f-42f4-9dba-c53b874deac8
64,715,KevireneDao,21.99,-99.21%,---,< 0.01,279,969,9c7feb03-d58d-46db-bb9b-f33cd1775162
55,716,Netvrk Bonuses,21.96,-80.04%,-52.53%,0.7,1.2K,1.9K,99339940-9a4c-41ec-b62d-761024a22f52
62,717,Project Aurora by Shift/Space,21.76,-100.00%,---,---,1,1,3b019f55-af1b-4c49-9a21-cc618b9311c7
56,718,KLAY APE CLUB,"50,035.34",+6.10%,-62.36%,230,1.2K,10.0K,2a233d34-e08a-4d42-9c56-3ddd39717c47
61,719,RTFKT Capsule Space Drip 1.2,21.75,---,-51.34%,10,204,348,697c5a4c-7533-4aea-8abb-616f65ee56d9
57,720,Solarbots.io,21.75,-58.89%,-67.14%,0.15,1.5K,38.8K,2ae7ae87-8523-40a7-94c5-4bf0ff4db096
60,721,Candy Hunters,21.73,+90.17%,-93.85%,0.03,4.6K,10.0K,68da5c23-b0e7-4f87-86ac-822bb350d926
58,722,Screens by Thomas Lin Pedersen,21.61,---,-28.76%,1.85,511,1.0K,f5262ec6-5e0b-4aac-9eee-95075fa7e11b
59,723,LykeIsland,21.59,-100.00%,-45.83%,2.87,114,120,346a827f-84d4-43cb-b0e8-434f8e18b916
44,724,Neo Tokyo Part 2 Vault Cards,21.55,---,-36.03%,3.4,402,2.5K,ca8369f1-a134-4f10-bdc0-4a368803a608
75,725,ZenApe,21.53,+73.74%,-12.95%,0.21,2.4K,5.0K,a679aad6-4f80-441e-a99a-4183d6ce5f24
51,726,KevDoodles Official,21.52,-98.25%,---,< 0.01,201,269,92a2249f-6254-4026-bd3b-b23cdaf1ccc9
72,727,METAKAYS.,21.45,+1.14%,-93.60%,0.04,3.1K,8.9K,f8b21f2a-6253-45d5-89c3-48825b06581f
50,728,STARKADE: Legion,21.44,-48.65%,+34.82%,0.08,2.0K,7.0K,9ce08cd3-2c25-4662-ac1b-033cbbcaba1a
68,729,Big Cats Official Collection,21.32,-71.23%,-59.44%,0.18,3.4K,5.2K,e6d67b3f-8e60-48a6-b0f3-f9430ee7783c
48,730,DEZUKI,21.29,+121.79%,-89.05%,< 0.01,3.3K,8.9K,f942c59b-cf6f-4267-a677-06e5e0281130
69,731,A.N.I.M.O,21.28,-51.36%,-29.80%,0.11,3.8K,10.0K,d8db26a1-9a01-4d4e-8c10-69257bda5bd2
70,732,My Beautiful Little Nightmares,21.27,-73.14%,---,0.09,177,50,3c81c5cc-273d-428c-a6c7-6c146a45b133
0,733,Grassetti's OS Collection,21.23,---,+201.51%,0.6,433,13,918a2a95-24e7-437f-a2fc-c94de24397ab
67,734,Crypto Cyborgs Founder Coin,21.2,---,---,---,1,5,22b7984b-2dd0-4257-a66f-e4cdf7b9c3be
65,735,Netvrk Transports,21.18,+72.83%,-76.13%,0.13,1.9K,5.1K,dc53b319-a747-4c0e-a9b3-dec16e0220ef
42,736,MutantCats,21.15,-8.40%,-35.85%,0.18,1.4K,10.0K,a84c8081-6886-4a0e-9a96-d69795a47bbd
37,737,Oi Sunnies,"48,373.9",+40.60%,-74.66%,60,572,5.6K,feb0ded2-981f-4841-ade4-693ff7a77359
40,738,KevToadz,21.02,-95.45%,---,< 0.01,243,469,6069086f-5f7b-49c5-ae82-619b7e2d506a
38,739,Bond on the Moon by Terry O'Neill - IN COLOR,21,---,---,3,7,10,322022e9-92ca-477c-9ca2-1c92b0264063
39,740,Crypto Packaged Goods,21,-100.00%,---,12.69,297,11,6e987108-bd6b-49c0-be41-58d2035f0b70
30,741,Wasted Whales: Afterparty,20.96,-83.05%,-72.21%,0.16,187,1.6K,ea3ef519-a12a-4a31-9d06-9225c2d19177
60,742,DinoBabies - Ziggy's Landing,20.94,-25.85%,-9.51%,0.08,3.0K,5.5K,4ebb7d1b-0b00-48c3-8b4e-801ff42b87a0
58,743,The Goobers,20.93,-1.51%,-65.11%,0.15,4.8K,14.5K,55cf6fc4-f395-4629-a156-786fde0007c6
35,744,Koala Intelligence Agency,20.86,+3.26%,+175.25%,0.13,5.1K,10.0K,aa74673d-c938-4820-b1d3-c49f0012f7b2
31,745,Funky Flies Official,20.59,+69.59%,-32.10%,0.05,1.1K,7.8K,dfb78372-1c52-40fd-bbb6-731799b9573d
57,746,Hedgies,20.56,-2.47%,-63.32%,0.55,1.6K,2.5K,ce8bf148-ee91-41bd-92c7-cdb5ccb52538
32,747,BrokeBoyz,20.51,+206.86%,-59.37%,0.08,1.8K,6.4K,97b98ad4-ec13-4486-b560-677759264154
38,748,Wasted Whales: Pregame,20.5,+113.01%,-63.33%,0.7,131,800,6877cab0-5bfc-4730-93cf-edb9c841e85f
53,749,Rebel Society,20.49,-17.15%,-3.53%,0.12,3.9K,7.0K,d3b6e18b-33dd-4031-a91c-81bb4a753798
51,750,The CryptoDads,20.48,+2.86%,-73.08%,0.19,7.5K,10.0K,9e3d2b5d-9d43-4415-8c45-08cf865b5a27
28,751,CROAKZ by McGill!,20.47,+89.14%,-54.24%,0.11,3.7K,7.0K,f459e3ba-ba5c-431f-b8ae-9bc1d630c6d1
23,752,Tunney Munney,20.35,+204.78%,+25.81%,0.2,603,5.0K,819ab56a-8d0f-439e-bcf6-6e391a0cbb5b
26,753,Genesis isoroom,20.18,-30.04%,-76.61%,0.22,332,3.0K,35887291-f075-4e05-8f1a-cfe57e57bb08
24,754,RugBurn,20.17,+50.72%,-56.85%,0.81,776,999,1e2a74d1-066d-42dc-9e5e-d318673f64a1
49,755,MKS Meta Kong Society,20.15,-42.33%,-75.39%,0.06,1.3K,2.1K,9cad5539-b541-4ecb-a07f-c071dd6ce7b4
15,756,CityDAO Citizenship,20.14,-12.94%,-34.26%,0.46,5.0K,3,4d7d1503-4992-416a-9506-ab28f86d1ea9
22,757,The Mutant Mushies,20.14,-53.49%,-64.71%,0.22,304,420,bd56f84d-da6b-4a15-8412-240893a7bc45
44,758,MetaScyra Origins,20.07,-77.24%,+163.80%,0.14,174,641,332f0744-5ff0-4a68-b449-c4b66f59a3cd
21,759,X Rabbits Club,20,-60.56%,-19.47%,0.12,3.4K,7.5K,fc7e0a0e-6fef-45a8-9f2f-3a0c2dede276
40,760,Crypto Bears - By CBS,19.98,+2.41%,-64.06%,0.1,3.8K,6.4K,bd65f4db-0541-4ed3-b5ae-ac9608b9bdd5
43,761,Official Dormant Dragons,19.93,-67.92%,-82.61%,0.13,1.7K,5.0K,94f4a5d7-899e-45ab-878a-c330da8416d3
17,762,Ballman project,19.79,-34.56%,-63.96%,0.09,2.8K,6.2K,e70ff019-1c38-4fef-a121-c6c3aa8b2636
42,763,Pixel Kevin NFT,19.75,+9.50%,---,< 0.01,350,1.2K,233671e2-93a5-4f26-8793-889cf626aa63
1,764,Good Morning Cafe,19.75,-98.06%,+75.55%,1.99,252,333,6b6a2f84-0659-424e-96d5-75ba9e7634f9
37,765,ape mfers,19.71,+117.15%,-81.97%,0.05,1.8K,8.9K,35f4a26f-0932-49ec-aeeb-177d97fd03e1
12,766,Kevinmories Official,19.55,-97.81%,---,0.02,252,555,144b76f0-75db-4b07-b367-48d8ac09a2b3
36,767,Endless Bodegon,19.52,-95.15%,+260.46%,0.3,172,78,6a4a1658-a225-47fb-a41a-0d2d6b038f1d
32,768,GLEWME CITY,19.45,+100.80%,+28.55%,0.1,448,2.8K,ba0abe8e-35e1-4f7f-8a00-75308f4a012a
34,769,Apes-R-Us,19.42,+78.92%,-42.92%,0.09,3.8K,8.4K,33f68ca5-c147-4685-a580-b5870428f2b6
33,770,Flying Formations,19.4,+4.21%,-95.20%,6,99,120,22195bf4-6b0d-450a-911f-adbd4b7671a5
28,771,Smol Kevins,19.38,-94.59%,---,< 0.01,549,2.0K,3be20686-c75e-43a0-b589-0e1dc7f7cded
8,772,KREEPTURE,19.35,-81.24%,+1371.78%,0.75,151,8,b88a7af1-d36b-4400-ab34-9a852daaecc9
29,773,The Alien Boy,19.35,+395.19%,+29.32%,0.16,3.7K,10.0K,0f50482b-4512-4db8-b7b1-22bad84c19bd
30,774,Rug Radio Membership Pass,19.31,+98.40%,-23.74%,0.08,13.6K,20.0K,950c0871-f809-4a0b-b717-70e0f739e9f8
2,775,The Gnomies Club,19.29,+99.25%,+238.74%,0.05,1.1K,2.7K,9c77183b-fa91-4c92-9b51-a65b0dda8e44
27,776,Hyena Hype Club,19.29,-90.16%,+52.80%,0.25,282,753,3a2b006d-b12d-4a6c-a990-9fc9955fef07
25,777,GEN.ART Membership,19.26,-65.96%,+61.56%,0.27,2.4K,5.1K,ec7e7c00-5e5e-4b5b-b964-7e6cda1ce968
26,778,HYPE ALIENS PRIME,19.21,-24.39%,---,0.09,700,1.1K,896974a2-cc87-4d06-8d5e-fdbde4e7c903
23,779,Feathered Underdog Club,19.03,-70.87%,-9.24%,0.24,178,368,38565738-8518-4be5-b5e4-a01d7f9daae3
24,780,STONEYs by Satoshi's Mom,19.01,-57.60%,-89.34%,0.03,851,2.2K,77bbdd63-b998-4303-90d2-8f82dd842354
3,781,Creepy Creams: Mecha Melters,18.99,+43.86%,-97.35%,0.04,2.8K,6.0K,a973df1a-ff50-4ab1-9240-bce52bb3b7d4
22,782,The Walking Dead Official Auction,18.99,---,---,---,4,4,1a33222b-8b56-467d-b069-43fa3cccdc26
20,783,Alotta Money's Twitter Headers,18.99,-100.00%,---,88,21,21,46eba99f-9deb-4e91-99ee-67f9bf641827
21,784,GenX by HOK,18.98,+63.46%,+18.72%,0.1,3.1K,10.0K,20dbfcbe-7da3-4b60-be51-8ba4433aa120
16,785,Ape Gang,18.77,-23.87%,+88.13%,0.16,2.4K,7.6K,41c47043-45be-42c7-8851-c8064dd1ac19
19,786,Funky Salamanders,18.72,+12020.31%,---,0.01,738,2.5K,aeed89f4-07c5-4e6c-a642-55ff1862c1cb
17,787,Creepy Creams: Alpha Wave,18.7,+22.84%,-83.97%,0.25,443,1.5K,63ef1be5-4a0c-4873-9e65-d0b9e01450a4
18,788,Crypto.Chick,18.69,+129.91%,+6.80%,3.1,149,200,3662ca1e-9898-4b2f-aaa4-7284f24e422f
4,789,Hungry Wolves,18.6,-56.23%,-15.44%,0.12,1.4K,6.0K,0a7a93ff-792a-454d-a9f0-a81505804656
15,790,WhaleTogether,18.58,-32.87%,-62.34%,0.08,4.8K,7.8K,0ae35dac-9526-429a-895d-e7fe9f01340e
13,791,Golf Goonz,18.53,+300.36%,+0.93%,0.06,111,328,bcbb3c7f-b7c9-4c12-b429-1be25e315804
14,792,Justin Aversano - Smoke and Mirrors - Physical Tarot Scrolls,18.52,-100.00%,-7.83%,5.56,171,204,0104108b-695e-4530-93b7-b3706db4420c
5,793,RetroVerse90s,18.52,---,+5191.43%,0.11,63,3.7K,f6b23e13-e7a1-4355-a6e0-37e2ae36ed74
12,794,Birdez Gang Collection,18.5,+148.78%,-47.17%,0.94,548,1.3K,55230e38-a190-465e-9490-ebb3685de889
10,795,NFTBoxes,18.44,-90.98%,-0.29%,0.01,4.4K,43.6K,6fd724e8-9912-48f6-9835-e220c9a5f363
11,796,LIQUID METAL by TRIPLE SIX,18.41,+290.71%,-81.26%,0.04,2.4K,6.7K,19ec2270-ec30-4b68-9d8d-85651f759426
6,797,Open-NFT,18.41,-100.00%,+1819.29%,---,1,13,1dcd8446-6412-46d2-9553-3777495ba048
9,798,CryptoHoots Steampunk Parliament,18.34,+268.29%,+97.43%,0.35,904,2.5K,4c8af9c7-4beb-464f-b6b0-280754bf0a1d
7,799,Jadu Jetpack,18.24,---,-11.41%,3.8,761,1.1K,a11c9237-77df-4843-9b66-66afdbc5bbdd
