,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
69,104,ASM Brains,335.36,-62.81%,+19.14%,3.8,2.6K,7.3K,614a84a3-8a8d-47de-a328-ff4700dc63b6
72,105,CyberKongz,330.45,-48.79%,-17.23%,7.1,2.4K,5.0K,e70d85f1-d4a0-4e09-b229-31f8d0ce04b6
70,106,KlayCity District,"748,381.92",-100.00%,+50.15%,11800,624,1.0K,6220cf7d-f1fa-4a02-89d8-35f32383aa57
71,107,Farm Land by Pixels,323.23,+16.12%,-67.69%,0.99,2.4K,5.0K,d9fa5676-ceb4-490e-b194-69d2c113df2d
53,108,Acrocalypse,319.86,-49.06%,-82.94%,0.38,3.9K,10.0K,7c66d874-f58d-4604-9a54-bf422fcbea8c
68,109,Supreme Kong,319.71,-13.34%,-40.98%,0.66,1.2K,2.0K,0a652607-5840-4043-a69a-8995b5ae2b58
66,110,Sneaky Vampiress Syndicate,319.15,-43.08%,-48.10%,0.09,5.7K,12.3K,c3158328-0a70-429d-a5bf-3badb739b8ad
67,111,DourDarcels,316.07,+548.24%,---,0.17,4.0K,10.0K,fb88e4da-313e-46f0-b377-ee733b7a4397
54,112,Funcles NFT,314.79,+33.59%,+94.33%,0.06,2.1K,3.3K,8681be98-08c1-4b91-b286-09f99c9e3982
65,113,Genesis Bloodshed Bears,310.59,-12.76%,-76.09%,0.05,1.5K,7.0K,980c658c-2c19-4378-a62e-52ff8b031c6f
63,114,Voyagers: Unknown | 304-X,308.64,-40.36%,---,0.3,1.3K,2.1K,2d295fb3-7122-449c-b233-939818e746b6
64,115,Gray Boys,307.82,-46.77%,-70.40%,1.17,3.3K,10.0K,fc430520-3089-4d6e-b15b-d9adee53f681
55,116,JRNY CLUB OFFICIAL,307.35,+149.00%,-3.40%,3.3,6.8K,10.0K,a731577a-72ed-4520-a36c-8203db30654f
62,117,hausphases by Haus,303.45,-45.70%,-49.93%,0.8,4.9K,7.8K,7b22d86c-1e4f-4013-8497-1f55e0546f6f
56,118,MultiverseVM,302.47,-38.32%,-63.84%,0.44,2.1K,8.0K,f9b04af5-0c4e-4306-a8b7-819e97973915
61,119,CYE ChuchuCAT V0,"695,615.88",+9.54%,+408.67%,525,1.2K,3.5K,a9c98efe-8c49-4d07-9d3e-03443a4b195b
57,120,ENS: Ethereum Name Service,298.13,-64.75%,+195.80%,< 0.01,284.0K,619.7K,03dc97d8-b466-47cb-ab46-e57869b470fc
60,121,Edenhorde,297.32,+42.04%,-68.88%,0.44,3.5K,8.7K,05acafce-62da-41eb-b78d-7b2c160a914e
58,122,FancyBirds,296.71,-74.31%,+5.07%,0.26,1.7K,8.9K,cddc48a7-d257-40c0-8b70-c0069f5c5d33
59,123,BYOPill,292.84,-46.46%,+58.27%,1.5,3.3K,10.0K,e03f1d6b-5513-47dd-8691-3f8eebbe500f
44,124,Wrapped Ether Rock,289,---,---,299,9,9,0f3c51f7-6b44-4ebf-9db5-8e8be7f1bfee
75,125,NeoTokyo Outer Identities,287.22,+77.43%,-34.72%,2.79,4.1K,4.5K,c947dc6f-6019-429a-a8a1-4362311977f4
74,126,TURTLE TOWN NFT,280.79,-60.88%,-55.46%,0.05,4.4K,10.0K,c794e654-4c75-4cfc-8d27-a3d65f2733fa
49,127,Look Labs 420 Game,278.17,-58.31%,-38.71%,0.38,4.0K,2,d81e4983-dc87-4b9f-bc60-3734641dd755
50,128,JPEG Cards,274.19,-25.37%,-68.43%,1.01,547,1.0K,aa4c388b-1a22-4b0c-a2f5-853763bda094
45,129,Slotie NFT,271.57,-38.98%,-45.06%,0.85,4.0K,10.0K,5f04f991-2229-446a-8896-7892c95e5a8b
48,130,FLUF World,269.61,-56.30%,-36.84%,3.46,3.7K,10.0K,071335b7-10d0-4b2e-9612-d277f75c061f
46,131,Tasty Bones XYZ,267.16,+30.70%,-84.49%,0.59,3.4K,5.0K,4efa0e43-c3dd-4541-9638-e14b57cf4014
70,132,Netvrk Land,266.04,-32.12%,-60.78%,0.8,3.8K,9.7K,e2406732-e20f-4626-b10a-03c05f989359
0,133,SkuxxVerse Pass,264.41,-31.08%,-85.02%,0.37,3.0K,7.8K,e7c96fc6-0b46-4b1d-b839-3717107238fc
67,134,Nifty League DEGENs,260.92,-39.25%,+102.64%,0.69,3.3K,9.9K,e4c51b13-6fa2-4934-80b6-db0dc07e4cae
65,135,Adam Bomb Squad,254.31,-12.93%,-27.19%,0.61,8.7K,25.0K,01cbfa07-a1fc-4f4e-b3a2-bcc47808f4b2
42,136,FULL SEND METACARD NFT,251.44,-35.29%,-48.29%,1.06,7.3K,10.0K,70fa5e37-c020-42e0-8bd6-a4f8538cff0a
61,137,hauspets,250.88,-71.90%,---,0.09,3.8K,7.2K,9f12700b-05f0-4e08-b728-7c259ac1d02d
40,138,LARVA-OFFICIAL,"575,287.41",-62.87%,---,323,3.6K,9.1K,384f27d1-31e6-44ce-a3e9-63e446a99c04
62,139,Treeverse,248.31,-20.31%,-59.37%,---,4.7K,20.3K,8bf54e2d-9c3f-436c-826c-ecf6bdc7f834
39,140,the littles NFT,243.47,-24.25%,+47.84%,0.54,5.5K,10.0K,82778519-55a3-4813-afd7-88e7af47e6a2
54,141,Sappy Seals,236.62,+178.88%,-8.96%,1.15,1.1K,10.0K,19adc0b7-9735-4ca2-9b93-6a571fb3c7ab
60,142,The mfer chicks,231.57,+17.69%,-78.94%,0.07,2.8K,5.6K,20700ba4-f6b3-4756-95d2-77bb9f0e39a8
58,143,Never Fear Truth by Johnny Depp,227.1,-46.85%,-14.33%,0.34,2.3K,3.9K,023b944b-ef0a-48b4-86b7-4910960a7d71
59,144,Junior Slotie,225.98,-27.63%,-50.18%,0.44,2.6K,5.9K,e94063a1-e77d-47f3-a629-e45683eda673
55,145,SlimHoods,222.71,+146.42%,-49.03%,0.74,2.8K,5.0K,115ab2ee-7671-4545-8252-b25a2dc15d88
57,146,ALTAVA Second Skin Metamorphosis,222.3,+16.98%,---,0.33,1.6K,2.3K,ebb84299-822d-419e-942f-e99e449d7b83
32,147,Meta Eagle Club. Galyverse by Gal Yosef,221.56,+4.92%,-73.36%,0.26,6.5K,12.0K,707825d6-857b-476f-b441-9aecedc45375
1,148,The CryptoBear Watch Club,221.31,-67.22%,+20.11%,0.62,824,3.0K,19b97069-f582-4524-af2d-097bde32bf03
53,149,Hero Galaxy: Heroes,220.78,-46.76%,-78.23%,0.46,2.1K,5.6K,233ba200-411a-45d1-af4e-6ed77129a255
27,150,Ethereal Art - Asia Ladowska,219.59,+1.25%,---,0.09,1.8K,4.8K,fe2e3a8d-69ac-4412-84dd-78d2cf22e216
28,151,Derage,219.53,+11.17%,-44.79%,0.06,1.6K,4.2K,f09b095a-8057-4d90-818d-080660a7bacd
47,152,The Flower Girls,218.66,+38.81%,+92.43%,0.55,4.2K,10.0K,faf089b5-3a24-4de6-ae77-7cee75f8aebc
26,153,Wave Catchers Official,217.46,-66.31%,---,0.09,1.1K,3.3K,2e0f3415-a54f-4b3a-b1f1-bae365bdf27f
24,154,Pop Art Cats by Matt Chessco,211.63,-25.49%,-14.26%,0.17,5.0K,10.0K,f1b0ae49-be97-43c4-ab06-d0ba7349e03c
25,155,Apocalyptic Apes,211.1,-15.51%,+89.91%,0.42,3.6K,8.9K,509b44ed-5fc5-4c1c-8931-ba19f20f5a97
39,156,Cyber Factory 2,210.43,-10.47%,-59.72%,0.7,9.4K,5,34cb9c8c-ef5e-44ed-acb9-c26aa2755bcc
46,157,OnChainMonkey,210.31,-25.16%,-81.05%,1.93,3.0K,9.5K,92bc440f-72a6-4c8c-b3ab-297042a5eab1
20,158,FVCK_CRYSTAL//,208.76,+82.59%,+228.50%,2.45,2.1K,4.2K,46e5d662-4a88-4d5a-b844-2d97f97da8aa
21,159,PUNKS Comic,205.28,+36.65%,-32.55%,0.12,8.4K,23.2K,fc86b33d-2e86-404a-8886-e849699eee39
40,160,FancyBears Metaverse Official,203.87,-39.81%,+19.18%,0.6,3.8K,7.9K,e5fc305d-7c91-4e21-bc56-a6bb0f8577cc
43,161,SheepFarm,"463,997.74",-24.29%,-70.80%,0.9,19.6K,211.5K,7e7e9036-6d80-4bcc-8411-4de6dabb2815
17,162,Crypto Unicorns Market,199.25,+22.74%,-10.33%,1.31,524,10.0K,7bc855ff-5a72-453b-b082-2410461284d3
42,163,Crypto Unicorns Shadowcorns,196.79,-71.31%,+47.77%,0.09,1.3K,5,afcf821f-8d54-46d4-acc7-25742c3369d6
1,164,The Habibiz,193.68,+44.91%,-68.47%,0.94,681,4.9K,38a4d3a1-ab77-414e-921b-2767e144e903
14,165,PhantaBear,189.91,-48.05%,+2.75%,0.7,5.3K,10.0K,8d9b54eb-2cb6-4bbc-8011-0c931c6c123d
12,166,EtherOrcs Genesis,188.98,+7.85%,+34.61%,2.64,63,5.0K,84efbef6-7404-423c-b8de-072106ea0655
36,167,Rug Radio - Genesis NFT,187.05,+3.24%,-39.74%,0.42,10.3K,20.0K,0fa90215-0468-4915-921c-f4e8cadf6754
32,168,Lazy Lions,186.83,-19.45%,-49.32%,1.39,5.1K,10.1K,65602a43-d048-4674-8000-c21783561a95
11,169,Apostles: Genesis,184.96,-24.11%,+23.23%,0.92,2.5K,7.3K,fca67ff5-311e-4f25-ac07-bae681f7586b
33,170,iNFT Personality Pod by Alethea AI,184.37,-65.20%,+167.40%,0.49,1.5K,9.8K,a14c2cd9-838a-4ae7-85da-6c757b1def4b
3,171,Cosmic Cats Official,182.5,-48.04%,-6.97%,0.08,4.8K,8.9K,a1d5ff71-5b56-4a46-b97d-cb1e18303565
8,172,Angry Ape Army,182.04,+83.58%,+66.65%,3.44,1.1K,3.3K,f372bc41-3128-409a-b992-78b29c1d9600
29,173,Grandpa Ape Chemistry Club,181.64,-74.08%,---,0.25,1.9K,3,7b26f3d9-fdb6-4a6a-932b-534066e4d266
30,174,Elemental by Fang Lijun,180.45,-82.91%,-74.25%,0.7,1.2K,2.0K,9c71d609-e519-435e-a09d-3d4ec6261190
4,175,FLUF World: Burrows,179.51,-23.44%,-40.19%,0.94,3.3K,10.5K,69d04b5f-00ac-4fb9-8691-34531973184c
27,176,Lives of Kevin,178.8,+55.92%,---,< 0.01,639,1.1K,303e3c8c-85a6-44ed-8738-d25194093f76
25,177,MoodRollers by Lucas Zanotto,176.36,+153.73%,-52.85%,0.47,2.7K,5.0K,03ebc5de-41a2-415b-9ac2-7297e8a35ff8
26,178,The Cryptoids,175.42,-92.10%,+59.99%,0.68,814,1.0K,d4a482f0-2704-488b-898f-64978e671767
23,179,Topps Timeless,175,---,---,---,1,1,09dde6f6-e4c6-44dd-87b1-f2aa8705102e
24,180,0xMAYC Official,174.47,-42.31%,+16725.18%,0.03,2.8K,10.0K,dbac93cf-e93e-4a36-855b-93ee01d76e43
3,181,EtherOrcs Allies,172.39,-17.83%,+60.55%,1.23,53,6.0K,6568e3d4-d8b4-4acf-b220-d5ff65b552ba
22,182,Age of Zen Heroes,"395,591.6",+36.09%,-62.27%,159,2.5K,7.8K,7de494c5-4065-4c9a-9911-3e697cd754c6
20,183,Internet Game Token,171.51,-27.83%,+5.22%,0.07,902,8.0K,c729d0ae-b05b-4683-ad90-da72918fb939
21,184,Super Fat Academy,165.66,-79.11%,---,0.27,1.3K,2.3K,11e65f28-7d6d-4234-9525-9cd89bff8075
16,185,My Pet Hooligan,165.43,-10.72%,-43.26%,0.94,5.2K,8.9K,91467ad9-c874-43bc-ad18-ef4b20e6fdf4
19,186,Crypto Unicorns Land Market,164.59,+33.20%,+49.04%,0.12,6.8K,30.0K,1692bd43-2e3f-4c38-82fd-0f543d523a88
17,187,Bored Ape Chemistry Club,164.55,---,-59.38%,19,1.1K,3,b030ea67-6ae5-49ee-a8e9-4bda7ce514b3
18,188,Diverse Genesis,164.02,+70.64%,---,0.12,716,1.5K,135d52a1-12f7-4e1f-9a85-592a73078ce2
4,189,MonoLocco Genesis,159.99,-45.02%,---,0.1,909,1.4K,8a25a21d-0db5-4052-8b51-e564c8d119b3
15,190,Zoofrenz by Zombot Studio,159.39,-39.83%,-45.30%,0.4,3.5K,6.7K,543855a0-0094-40c2-9237-deb21f63e524
13,191,VOX Collectibles,158.98,-79.10%,-3.39%,1.15,3.4K,8.9K,06106ddd-1b0b-4a8b-9da6-9d38febc5745
14,192,ALPACADABRAZ 3D,158.54,+45.63%,-73.86%,0.19,8.0K,20.0K,53e8bdd5-2e90-4653-bf20-9a87e43fed04
5,193,Cryptovoxels,157.21,-36.35%,-44.09%,1.39,2.2K,7.2K,13c3025a-357e-43ea-b4ef-ce5a52255873
12,194,My Fat Babiz,"360,934.09",-28.72%,+285.00%,180,624,9.2K,444ab8a0-53ff-469b-a04d-ee0c2a820011
10,195,think what you think,155.91,-100.00%,+392.28%,---,9,9,a7a67485-ef4b-4272-a553-9936d82ec7d1
11,196,WomenRise,154.35,+78.05%,-8.71%,0.49,5.7K,10.0K,8794ecf3-87fd-475b-b03d-0d42cd4e8c59
